number,start_tick,start_frame,freezetime_end_tick,freezetime_end_frame,end_tick,end_frame,end_officially_tick,end_officially_frame,team_a_name,team_b_name,score_team_a,score_team_b,team_a_side,team_b_side,team_a_start_money,team_b_start_money,team_a_equipment_value,team_b_equipment_value,team_a_money_spent,team_b_money_spent,team_a_economy_type,team_b_economy_type,duration,end_reason,winner_name,winner_side,overtime_number,match_checksum
21,193066,242559,194346,244444,198516,249595,198964,250142,Team Spirit,HEROIC,10,11,2,3,30400,24700,27650,26850,11250,22850,full,full,87489,9,Team Spirit,2,0,6ff36ec1a9149902
22,201250,253264,202530,255201,210760,265094,211208,265629,Team Spirit,HEROIC,11,11,2,3,37200,17250,27850,8650,17100,8450,full,semi,147101,9,Team Spirit,2,0,6ff36ec1a9149902
23,213804,269167,215084,270989,220836,277850,221284,278407,Team Spirit,HEROIC,12,11,2,3,38150,27000,27850,27500,21950,25800,full,full,107969,9,Team Spirit,2,0,6ff36ec1a9149902
24,221284,278407,222564,280471,229177,288270,229177,288270,Team Spirit,HEROIC,13,11,2,3,35200,18150,28550,19250,16900,18050,full,force-buy,122642,9,Team Spirit,2,0,6ff36ec1a9149902
1,1,1,3311,4401,7750,9536,8198,10069,Team A,Team B,0,1,3,2,4000,4000,4800,4450,3400,3450,pistol,pistol,119791,9,Team B,2,0,74f1eea03072e6b4
2,8198,10069,9478,11999,15274,18889,15722,19424,Team A,Team B,0,2,3,2,11000,18600,10200,18200,9300,16650,force-buy,semi,110808,1,Team B,2,0,74f1eea03072e6b4
3,15722,19424,17002,21325,22661,27884,23109,28406,Team A,Team B,0,3,3,2,14600,21850,6700,21750,2350,12100,semi,full,106285,9,Team B,2,0,74f1eea03072e6b4
4,23109,28406,24389,30325,31749,39078,32197,39603,Team A,Team B,1,3,3,2,27950,28100,28500,27550,27500,21250,full,full,134076,12,Team A,3,0,74f1eea03072e6b4
5,35368,44120,36648,45975,40701,51036,41149,51557,Team A,Team B,2,3,3,2,17100,13950,22750,18400,16350,13300,full,force-buy,86888,8,Team A,3,0,74f1eea03072e6b4
6,41149,51557,42429,53503,46531,58507,46979,59049,Team A,Team B,3,3,3,2,18200,10750,25500,2200,14500,1600,full,eco,87315,8,Team A,3,0,74f1eea03072e6b4
7,46979,59049,48259,60810,52905,66370,53353,66891,Team A,Team B,3,4,3,2,22150,20850,26500,21100,4700,20100,full,full,91976,9,Team B,2,0,74f1eea03072e6b4
8,53353,66891,54633,68699,59392,74536,59839,75068,Team A,Team B,3,5,3,2,25650,18600,26300,22650,24800,15600,full,full,96046,9,Team B,2,0,74f1eea03072e6b4
9,59839,75068,61119,76850,67032,83963,67480,84539,Team A,Team B,3,6,3,2,10650,21650,1000,26650,0,8950,eco,full,111751,9,Team B,2,0,74f1eea03072e6b4
10,69464,87040,70744,88925,78583,98450,79031,98994,Team A,Team B,3,7,3,2,22650,30350,24150,26650,22550,5500,full,full,143347,1,Team B,2,0,74f1eea03072e6b4
11,79031,98994,80311,100863,88530,110557,88978,111100,Team A,Team B,3,8,3,2,14600,43250,25350,27750,11850,4700,full,full,145270,9,Team B,2,0,74f1eea03072e6b4
12,91536,114364,92816,116135,98512,122847,99056,123510,Team A,Team B,3,9,3,2,20650,56200,22500,28550,20200,19350,full,full,106574,9,Team B,2,0,74f1eea03072e6b4
13,99056,123510,112207,140105,116646,145172,117094,145711,Team A,Team B,3,10,2,3,4000,4000,4300,4150,3300,3350,pistol,pistol,272147,8,Team B,3,0,74f1eea03072e6b4
14,117094,145711,118374,147469,120450,149982,120898,150539,Team A,Team B,3,11,2,3,11100,18400,2500,20500,2100,17700,eco,semi,53658,8,Team B,3,0,74f1eea03072e6b4
15,120898,150539,122178,152331,129254,160720,129702,161257,Team A,Team B,3,12,2,3,21300,19050,22400,26350,21000,9800,full,full,127907,7,Team B,3,0,74f1eea03072e6b4
16,132116,164535,133396,166363,136676,170259,136676,170259,Team A,Team B,3,13,2,3,17850,26050,19550,29850,18750,20050,force-buy,full,71912,8,Team B,3,0,74f1eea03072e6b4
1,1,1,4070,5413,9236,11408,9684,11947,Team A,Team B,1,0,3,2,4000,4000,4500,5100,3400,3400,pistol,pistol,142263,8,Team A,3,0,f101e58241ef725a
2,9684,11947,10964,13831,20499,25014,20947,25556,Team A,Team B,1,1,3,2,18350,11900,20400,8100,17600,4600,semi,semi,162965,1,Team B,2,0,f101e58241ef725a
3,20947,25556,22227,27558,27747,34248,28195,34773,Team A,Team B,1,2,3,2,8050,26000,14800,24550,7850,16100,force-buy,full,108402,1,Team B,2,0,f101e58241ef725a
4,28195,34773,29475,36645,38043,46783,38491,47320,Team A,Team B,1,3,3,2,10000,28900,5250,26100,800,8600,semi,full,149783,1,Team B,2,0,f101e58241ef725a
5,38491,47320,39771,49219,48746,59594,49194,60142,Team A,Team B,1,4,3,2,21800,39300,22150,26200,21150,13000,force-buy,full,153075,1,Team B,2,0,f101e58241ef725a
6,49194,60142,50474,62150,56844,69858,57292,70377,Team A,Team B,1,5,3,2,16650,45300,12650,27350,8300,26350,semi,full,121173,9,Team B,2,0,f101e58241ef725a
7,59662,73655,60942,75326,69091,85003,69539,85532,Team A,Team B,1,6,3,2,26850,36800,26700,27350,25700,16700,full,full,141527,9,Team B,2,0,f101e58241ef725a
8,69539,85532,70819,87451,77882,95871,78330,96399,Team A,Team B,1,7,3,2,19050,37950,11500,27350,10900,18950,semi,full,128943,9,Team B,2,0,f101e58241ef725a
9,78330,96399,79610,98374,85555,105573,86003,106114,Team A,Team B,2,7,3,2,26050,36850,25400,25100,24400,16400,full,full,114414,7,Team A,3,0,f101e58241ef725a
10,86003,106114,87283,108135,92754,114707,93202,115234,Team A,Team B,2,8,3,2,20950,31650,26700,27350,16750,26350,full,full,107168,9,Team B,2,0,f101e58241ef725a
11,95452,118361,96732,120211,100672,125080,101120,125607,Team A,Team B,2,9,3,2,19300,22950,20450,25700,18950,11150,force-buy,full,83796,9,Team B,2,0,f101e58241ef725a
12,101120,125607,102400,127558,105555,131539,106099,132181,Team A,Team B,2,10,3,2,17950,29250,19150,28350,17850,14400,force-buy,full,73981,9,Team B,2,0,f101e58241ef725a
13,106099,132181,119432,149846,122832,153821,123280,154353,Team A,Team B,2,11,2,3,4000,4000,4700,4250,3300,3450,pistol,pistol,269884,7,Team B,3,0,f101e58241ef725a
14,123280,154353,124560,156239,131105,164014,131553,164535,Team A,Team B,2,12,2,3,14100,19850,14100,21400,13500,19350,force-buy,semi,120487,8,Team B,3,0,f101e58241ef725a
15,133586,167511,134866,169350,138702,174050,138702,174050,Team A,Team B,2,13,2,3,15300,19900,14400,26700,13300,17000,force-buy,full,81551,8,Team B,3,0,f101e58241ef725a
1,181,291,3866,5023,12457,14829,12905,15357,BetBoom,G2,0,1,3,2,4000,4000,4200,4300,3400,3450,pistol,pistol,182144,9,G2,2,0,d8db8a4b337c6ecd
2,12905,15357,14185,17229,17800,21612,18248,22169,BetBoom,G2,0,2,3,2,11000,18600,1700,19500,1100,18200,eco,semi,78368,9,G2,2,0,d8db8a4b337c6ecd
3,18248,22169,19528,24131,26079,32051,26527,32581,BetBoom,G2,0,3,3,2,22500,19050,23550,24500,22150,11300,full,full,123810,9,G2,2,0,d8db8a4b337c6ecd
4,26527,32581,27807,34630,34571,42634,35019,43197,BetBoom,G2,0,4,3,2,16050,25800,10250,26650,9850,21950,semi,full,125952,9,G2,2,0,d8db8a4b337c6ecd
5,37436,46389,38716,48187,47442,58908,47890,59433,BetBoom,G2,0,5,3,2,24100,21500,24200,27850,23200,9000,full,full,156848,1,G2,2,0,d8db8a4b337c6ecd
6,47890,59433,49170,61365,56142,69486,56590,70005,BetBoom,G2,1,5,3,2,18500,31500,9900,27550,6400,12800,semi,full,125952,8,BetBoom,3,0,d8db8a4b337c6ecd
7,58968,73332,60248,75161,65897,81992,66345,82533,BetBoom,G2,2,5,3,2,30450,26900,29250,24600,22650,23600,full,full,108499,8,BetBoom,3,0,d8db8a4b337c6ecd
8,66345,82533,67625,84368,69668,86787,70116,87351,BetBoom,G2,3,5,3,2,25350,13200,29500,2800,12400,2000,full,eco,53297,8,BetBoom,3,0,d8db8a4b337c6ecd
9,70116,87351,71396,89251,78875,98093,79323,98620,BetBoom,G2,3,6,3,2,30700,23200,30000,23800,2600,22500,full,full,134585,9,G2,2,0,d8db8a4b337c6ecd
10,79323,98620,80603,100584,88777,110431,89225,110984,BetBoom,G2,3,7,3,2,38200,18150,26400,26700,25700,12950,full,full,147978,1,G2,2,0,d8db8a4b337c6ecd
11,89225,110984,90505,112908,96729,120411,97177,120946,BetBoom,G2,3,8,3,2,25100,23700,28400,26950,20650,12400,full,full,118109,1,G2,2,0,d8db8a4b337c6ecd
12,97177,120946,98457,122824,105366,131089,105910,131740,BetBoom,G2,3,9,3,2,19650,29800,26800,29800,16750,19600,full,full,127080,9,G2,2,0,d8db8a4b337c6ecd
13,105910,131740,119224,148892,121596,151700,122044,152236,BetBoom,G2,3,10,2,3,4000,4000,4700,5100,3300,3400,pistol,pistol,250076,8,G2,3,0,d8db8a4b337c6ecd
14,122044,152236,123324,154051,128200,159832,128648,160366,BetBoom,G2,3,11,2,3,10500,18350,3500,20050,2900,17350,eco,semi,95169,8,G2,3,0,d8db8a4b337c6ecd
15,128648,160366,129928,162178,137288,171057,137736,171578,BetBoom,G2,3,12,2,3,19900,19350,20900,24600,19500,11300,full,full,133946,12,G2,3,0,d8db8a4b337c6ecd
16,137736,171578,139016,173552,143652,179452,143652,179452,BetBoom,G2,3,13,2,3,18850,19950,16950,28200,12250,23300,force-buy,full,98652,8,G2,3,0,d8db8a4b337c6ecd
1,17348,20593,20218,24170,24558,29101,25006,29621,Vitality,Eternal Fire,0,1,3,2,4000,4000,4250,4400,3250,3400,pistol,pistol,108245,9,Eternal Fire,2,0,299d651349cc6962
2,25006,29621,41674,49955,46335,55508,46783,56038,Vitality,Eternal Fire,0,2,3,2,10850,18650,10950,19100,10350,18100,force-buy,semi,329353,9,Eternal Fire,2,0,299d651349cc6962
3,46783,56038,48063,57807,53404,64051,53852,64577,Vitality,Eternal Fire,0,3,3,2,13100,18600,3750,23450,3750,11350,eco,full,101947,9,Eternal Fire,2,0,299d651349cc6962
4,53852,64577,55132,66610,62543,75415,62991,75932,Vitality,Eternal Fire,0,4,3,2,23850,25300,24650,23950,23250,4200,full,full,137889,1,Eternal Fire,2,0,299d651349cc6962
5,62991,75932,64271,77806,70770,85385,71218,85923,Vitality,Eternal Fire,1,4,3,2,18100,40100,11150,26100,6900,12800,semi,full,120268,8,Vitality,3,0,299d651349cc6962
6,73358,88763,74638,90674,82097,99598,82545,100127,Vitality,Eternal Fire,1,5,3,2,28950,34900,27900,27250,16150,26550,full,full,137850,1,Eternal Fire,2,0,299d651349cc6962
7,82545,100127,83825,101980,91938,111700,92386,112262,Vitality,Eternal Fire,1,6,3,2,27900,27350,28500,27450,23450,13100,full,full,147240,1,Eternal Fire,2,0,299d651349cc6962
8,92386,112262,93666,114136,100995,122942,101443,123479,Vitality,Eternal Fire,1,7,3,2,21450,32650,27150,26950,12650,7400,full,full,135878,1,Eternal Fire,2,0,299d651349cc6962
9,103670,126613,104950,128455,113355,138432,113803,138959,Vitality,Eternal Fire,1,8,3,2,26200,44050,27800,27550,21700,14300,full,full,150370,1,Eternal Fire,2,0,299d651349cc6962
10,113803,138959,115083,140844,120248,147088,120696,147612,Vitality,Eternal Fire,2,8,3,2,21600,48850,22250,28050,21250,9950,force-buy,full,103423,8,Vitality,3,0,299d651349cc6962
11,123370,151198,124650,153141,129601,159225,130049,159792,Vitality,Eternal Fire,2,9,3,2,18100,46500,25100,27350,17000,27250,full,full,102125,9,Eternal Fire,2,0,299d651349cc6962
12,130049,159792,131329,161644,137319,168818,137863,169466,Vitality,Eternal Fire,3,9,3,2,15900,37100,16500,28150,15500,9900,force-buy,full,114835,8,Vitality,3,0,299d651349cc6962
13,137863,169466,150945,185623,154715,189964,155163,190532,Vitality,Eternal Fire,4,9,2,3,4000,4000,4150,3750,3550,3550,pistol,pistol,260790,9,Vitality,2,0,299d651349cc6962
14,155163,190532,156443,192356,164860,202041,165308,202573,Vitality,Eternal Fire,5,9,2,3,18200,9800,20950,1000,17300,0,full,eco,146426,1,Vitality,2,0,299d651349cc6962
15,165308,202573,166588,204349,174035,212982,174483,213504,Vitality,Eternal Fire,6,9,2,3,19000,21800,23050,22400,4500,21400,full,force-buy,132431,1,Vitality,2,0,299d651349cc6962
16,174483,213504,175763,215367,185002,226111,185450,226638,Vitality,Eternal Fire,7,9,2,3,33500,15800,25400,10850,17100,6250,full,semi,160395,1,Vitality,2,0,299d651349cc6962
17,187434,229382,188714,231110,195508,239396,195956,239946,Vitality,Eternal Fire,7,10,2,3,35100,26850,25600,30350,10250,22150,full,full,127405,8,Eternal Fire,3,0,299d651349cc6962
18,195956,239946,197236,241742,205742,252000,206190,252521,Vitality,Eternal Fire,7,11,2,3,32150,22050,25200,30550,24200,10800,full,full,153360,7,Eternal Fire,3,0,299d651349cc6962
19,206190,252521,207470,254309,213041,261054,213489,261584,Vitality,Eternal Fire,8,11,2,3,21950,29950,21700,30750,20300,23600,full,full,108563,1,Vitality,2,0,299d651349cc6962
20,213489,261584,214769,263415,221001,270852,221449,271421,Vitality,Eternal Fire,9,11,2,3,20950,18750,27550,8200,12300,7400,full,semi,117914,9,Vitality,2,0,299d651349cc6962
21,221449,271421,222729,273288,229130,281122,229578,281670,Vitality,Eternal Fire,9,12,2,3,26700,26450,27950,27750,8100,26250,full,full,123423,8,Eternal Fire,3,0,299d651349cc6962
22,231990,285069,233270,286936,240885,296069,240885,296069,Vitality,Eternal Fire,9,13,2,3,11650,23950,24850,28650,24050,14100,full,full,139950,7,Eternal Fire,3,0,299d651349cc6962
1,1,1,4645,5626,10173,11886,10621,12426,Team A,Team B,1,0,3,2,4000,4000,4000,4300,3400,3300,pistol,pistol,149610,8,Team A,3,0,ad2b34ad0667c962
2,10621,12426,11901,14156,18287,21623,18735,22174,Team A,Team B,2,0,3,2,18350,10800,18200,1600,16250,1000,semi,eco,115773,8,Team A,3,0,ad2b34ad0667c962
3,18735,22174,20015,23985,26989,32411,27437,32986,Team A,Team B,2,1,3,2,21050,22100,23900,22200,10550,21500,full,full,128864,9,Team B,2,0,ad2b34ad0667c962
4,27437,32986,28717,34731,34180,41193,34628,41743,Team A,Team B,3,1,3,2,17800,18650,17750,25000,16750,8700,force-buy,full,103310,8,Team A,3,0,ad2b34ad0667c962
5,34628,41743,35908,43441,40250,48654,40698,49193,Team A,Team B,4,1,3,2,18800,19450,27350,19300,10650,18800,full,force-buy,86996,8,Team A,3,0,ad2b34ad0667c962
6,40698,49193,72288,88413,76484,93419,76932,93957,Team A,Team B,5,1,3,2,25900,13250,30550,4650,16750,4650,full,eco,556723,8,Team A,3,0,ad2b34ad0667c962
7,76932,93957,78212,95798,85572,104617,86020,105133,Team A,Team B,6,1,3,2,26700,23400,31050,23900,9800,23000,full,full,134189,12,Team A,3,0,ad2b34ad0667c962
8,88506,108608,89786,110317,92481,113730,92929,114265,Team A,Team B,7,1,3,2,34150,14600,33100,12100,16750,8200,full,semi,64476,8,Team A,3,0,ad2b34ad0667c962
9,92929,114265,94209,116236,97577,120332,98025,120889,Team A,Team B,8,1,3,2,34950,23800,32800,24150,15150,22750,full,full,76372,8,Team A,3,0,ad2b34ad0667c962
10,98025,120889,99305,122774,102828,127203,103276,127773,Team A,Team B,8,2,3,2,37350,18350,32600,10150,10750,10150,full,semi,79481,9,Team B,2,0,ad2b34ad0667c962
11,106190,131754,107470,133469,115856,143574,116304,144162,Team A,Team B,8,3,3,2,34200,25850,30250,28350,29250,14800,full,full,148791,1,Team B,2,0,ad2b34ad0667c962
12,116304,144162,117584,146087,120505,149657,121049,150300,Team A,Team B,9,3,3,2,14450,29050,29400,28650,12850,7000,full,full,69171,8,Team A,3,0,ad2b34ad0667c962
13,121049,150300,134243,166450,141402,174548,141850,175071,Team A,Team B,10,3,2,3,4000,4000,4200,4200,3400,3400,pistol,pistol,305237,9,Team A,2,0,ad2b34ad0667c962
14,141850,175071,143130,176956,147449,182083,147897,182621,Team A,Team B,10,4,2,3,18650,11300,18350,11850,17350,11050,semi,force-buy,88268,8,Team B,3,0,ad2b34ad0667c962
15,147897,182621,149177,184427,153736,189911,154184,190448,Team A,Team B,10,5,2,3,9800,18300,9950,21650,9550,17000,force-buy,semi,91767,7,Team B,3,0,ad2b34ad0667c962
16,154184,190448,155464,192309,157821,195194,158269,195756,Team A,Team B,10,6,2,3,14550,20600,14250,25550,13450,16100,force-buy,full,59743,8,Team B,3,0,ad2b34ad0667c962
17,158269,195756,159549,197620,163156,201863,163604,202407,Team A,Team B,10,7,2,3,13700,22250,2800,26900,2600,8200,eco,full,76875,8,Team B,3,0,ad2b34ad0667c962
18,163604,202407,164884,204248,172244,212953,172692,213513,Team A,Team B,10,8,2,3,25600,31800,26250,27900,25250,4000,full,full,132754,12,Team B,3,0,ad2b34ad0667c962
19,174988,216514,176268,218160,178821,221218,179269,221806,Team A,Team B,10,9,2,3,14250,45550,6550,28100,6150,8900,semi,full,59214,8,Team B,3,0,ad2b34ad0667c962
20,181398,224791,182678,226682,190179,235564,190627,236091,Team A,Team B,11,9,2,3,25400,54400,25100,30650,23600,9450,full,full,135612,9,Team A,2,0,ad2b34ad0667c962
21,190627,236091,191907,237986,197369,244524,197817,245048,Team A,Team B,11,10,2,3,19650,51150,25750,31550,15150,30550,full,full,106155,8,Team B,3,0,ad2b34ad0667c962
22,200414,248696,201694,250528,205860,255610,206308,256143,Team A,Team B,12,10,2,3,19800,38350,19200,30050,18500,22900,force-buy,full,87034,9,Team A,2,0,ad2b34ad0667c962
23,206308,256143,207588,257995,213116,264497,213564,265040,Team A,Team B,12,11,2,3,19350,23250,23200,24250,17100,23050,full,full,105161,8,Team B,3,0,ad2b34ad0667c962
24,213564,265040,214844,266814,218279,271190,218279,271190,Team A,Team B,13,11,2,3,18850,10550,14750,31050,13750,14100,force-buy,full,77417,9,Team A,2,0,ad2b34ad0667c962
1,218,368,4246,5281,6968,8422,7416,8943,Natus Vincere,paiN,1,0,3,2,4000,4000,4200,4750,3400,3350,pistol,pistol,102100,8,Natus Vincere,3,0,e1b5625501404064
2,7416,8943,8696,10801,14377,17401,14825,17947,Natus Vincere,paiN,2,0,3,2,18350,11350,20000,2700,17950,1700,semi,eco,107221,8,Natus Vincere,3,0,e1b5625501404064
3,14825,17947,16105,19916,21970,26790,22418,27307,Natus Vincere,paiN,2,1,3,2,18150,23350,22400,23400,6000,22400,semi,full,112102,9,paiN,2,0,e1b5625501404064
4,22418,27307,23698,29308,33031,40269,33479,40829,Natus Vincere,paiN,3,1,3,2,20650,18700,21150,21700,20150,17150,force-buy,full,164318,7,Natus Vincere,3,0,e1b5625501404064
5,33479,40829,34759,42665,40650,49515,41098,50086,Natus Vincere,paiN,4,1,3,2,20100,15250,26950,3700,17850,3100,full,eco,110112,8,Natus Vincere,3,0,e1b5625501404064
6,41098,50086,42378,52045,49273,60247,49721,60777,Natus Vincere,paiN,5,1,3,2,20000,24450,27250,25150,9500,24150,full,full,128810,8,Natus Vincere,3,0,e1b5625501404064
7,49721,60777,51001,62770,59691,72966,60139,73529,Natus Vincere,paiN,6,1,3,2,28250,15500,30350,7650,18700,7250,full,semi,154519,7,Natus Vincere,3,0,e1b5625501404064
8,62280,76246,63560,78052,69816,85531,70264,86073,Natus Vincere,paiN,6,2,3,2,28650,29150,30850,27250,14400,26250,full,full,117705,9,paiN,2,0,e1b5625501404064
9,70264,86073,71544,87964,80503,98451,80951,98984,Natus Vincere,paiN,6,3,3,2,21650,20950,7150,27150,6550,12800,semi,full,156915,1,paiN,2,0,e1b5625501404064
10,83700,102483,84980,104167,93735,114572,94183,115098,Natus Vincere,paiN,6,4,3,2,25200,26850,28200,27250,20350,12900,full,full,153251,1,paiN,2,0,e1b5625501404064
11,94183,115098,95463,117042,102211,125070,102659,125599,Natus Vincere,paiN,7,4,3,2,17450,32450,26900,27650,15500,13950,full,full,126414,8,Natus Vincere,3,0,e1b5625501404064
12,102659,125599,103939,127529,110168,134894,110712,135543,Natus Vincere,paiN,7,5,3,2,19100,28600,29000,26650,17100,26450,full,full,117832,9,paiN,2,0,e1b5625501404064
13,110712,135543,123924,151815,129791,158569,130239,159096,Natus Vincere,paiN,7,6,2,3,4000,4000,4950,4400,3350,3400,pistol,pistol,291899,8,paiN,3,0,e1b5625501404064
14,130239,159096,131519,160941,135894,166103,136342,166678,Natus Vincere,paiN,7,7,2,3,11050,18350,3700,20000,3100,17950,eco,semi,88827,8,paiN,3,0,e1b5625501404064
15,136342,166678,137622,168534,143543,175597,143991,176122,Natus Vincere,paiN,7,8,2,3,20250,18750,21250,25800,20050,11000,full,full,113065,8,paiN,3,0,e1b5625501404064
16,143991,176122,145271,178108,146928,180218,147376,180773,Natus Vincere,paiN,7,9,2,3,15300,25200,7700,29450,7500,15550,semi,full,51924,8,paiN,3,0,e1b5625501404064
17,150024,184385,151304,186018,159368,195522,159816,196042,Natus Vincere,paiN,8,9,2,3,25000,27200,25650,31050,24650,4500,full,full,141183,1,Natus Vincere,2,0,e1b5625501404064
18,159816,196042,161096,197920,167834,206115,168282,206657,Natus Vincere,paiN,8,10,2,3,19050,30300,27150,30000,12800,20300,full,full,127694,8,paiN,3,0,e1b5625501404064
19,168282,206657,169562,208542,176205,216545,176653,217087,Natus Vincere,paiN,8,11,2,3,21050,27750,21000,29300,20300,9800,full,full,125349,7,paiN,3,0,e1b5625501404064
20,179086,220396,180366,222050,188491,231680,188939,232214,Natus Vincere,paiN,9,11,2,3,21950,37050,21900,30250,21100,19150,full,full,143046,9,Natus Vincere,2,0,e1b5625501404064
21,188939,232214,190219,234052,196690,241749,197138,242287,Natus Vincere,paiN,9,12,2,3,18900,26100,23950,26050,17000,25350,full,full,120874,8,paiN,3,0,e1b5625501404064
22,197138,242287,198418,244191,206708,253934,207156,254454,Natus Vincere,paiN,10,12,2,3,17100,18500,19600,27700,16600,16650,force-buy,full,147648,1,Natus Vincere,2,0,e1b5625501404064
23,209278,257107,210558,258886,219521,269392,219969,269917,Natus Vincere,paiN,11,12,2,3,19500,10450,20100,10650,19100,10250,full,force-buy,155736,1,Natus Vincere,2,0,e1b5625501404064
24,219969,269917,221249,271778,229452,281539,229996,282179,Natus Vincere,paiN,12,12,2,3,19100,9700,26100,15200,15800,9150,full,force-buy,147331,9,Natus Vincere,2,0,e1b5625501404064
25,229996,282179,231353,284039,237549,291545,237997,292094,Natus Vincere,paiN,12,13,2,3,62500,62500,27150,31500,26750,31000,full,full,118732,8,paiN,3,1,e1b5625501404064
26,237997,292094,239277,294005,243234,298897,243682,299464,Natus Vincere,paiN,13,13,2,3,45350,49250,27350,31950,26350,10000,full,full,86241,9,Natus Vincere,2,1,e1b5625501404064
27,243682,299464,244962,301409,249558,306963,250102,307632,Natus Vincere,paiN,14,13,2,3,36850,46850,27750,31450,12700,32250,full,full,95064,9,Natus Vincere,2,1,e1b5625501404064
28,253074,311603,254354,313375,257761,317471,258209,318104,Natus Vincere,paiN,15,13,3,2,62500,62500,31600,27150,31700,26650,full,full,74388,8,Natus Vincere,3,1,e1b5625501404064
29,260660,321447,261940,323234,267846,330379,267846,330379,Natus Vincere,paiN,16,13,3,2,57100,31000,31550,27250,7800,26450,full,full,113230,8,Natus Vincere,3,1,e1b5625501404064
