name,team,score,score_first_half,score_second_half,current_side,match_checksum
Astralis,B,7,1,6,3,2ca7fa9b323bb44a
Astralis,A,6,4,2,2,9279191a9f55c33b
FaZe,B,13,8,5,3,9279191a9f55c33b
MOUZ,A,3,3,0,2,775c75a2bc05e8c5
Team Spirit,B,13,9,4,3,775c75a2bc05e8c5
Team Spirit,A,13,5,7,3,981e2ea9773711b5
MOUZ,B,16,7,5,2,981e2ea9773711b5
MOUZ,A,25,5,7,2,cf5082953cad8a36
Team Spirit,B,23,8,5,3,cf5082953cad8a36
Virtus.Pro,A,6,5,1,2,75016798dd16c4ae
Vitality,B,13,7,6,3,75016798dd16c4ae
Virtus.Pro,A,5,4,1,2,b8bb10ed6a2ae707
Vitality,B,13,8,5,3,b8bb10ed6a2ae707
Liquid,A,13,10,3,2,3d9e3bc7ece9a3d4
Imperial,B,4,2,2,3,3d9e3bc7ece9a3d4
Imperial,A,13,5,8,2,982226b3bdb90cc4
Liquid,B,11,7,4,3,982226b3bdb90cc4
Liquid,A,14,8,6,2,cbdf1329005aa75d
Imperial,B,5,5,0,3,cbdf1329005aa75d
M80,A,7,2,5,2,c581652530990eca
FURIA,B,13,10,3,3,c581652530990eca
M80,A,13,5,8,2,e1f186264b5f7a75
FURIA,B,10,7,3,3,e1f186264b5f7a75
M80,A,19,4,8,2,dac0189e7790611d
FURIA,B,18,9,4,3,dac0189e7790611d
Eternal Fire,A,13,9,4,2,c1851080886dcded
G2,B,10,3,7,3,c1851080886dcded
Eternal Fire,A,13,8,5,2,ec91bdaa35919074
G2,B,10,4,6,3,ec91bdaa35919074
The MongolZ,A,7,2,5,2,598a8f7e484c24e0
Natus Vincere,B,13,10,3,3,598a8f7e484c24e0
The MongolZ,A,13,11,2,2,9ad2403270b9b456
Natus Vincere,B,1,1,0,3,9ad2403270b9b456
Natus Vincere,A,16,6,6,3,cb9f7f6139007945
The MongolZ,B,14,7,6,2,cb9f7f6139007945
Virtus.Pro,A,11,3,8,2,38e0c519122583ce
Falcons,B,13,9,4,3,38e0c519122583ce
Falcons,A,16,9,3,2,2ea66c751bc778a1
Virtus.Pro,B,19,3,9,3,2ea66c751bc778a1
Virtus.Pro,A,22,5,7,3,5b04602e28df6ad7
Falcons,B,21,8,5,2,5b04602e28df6ad7
Team Spirit,A,13,10,3,2,a8d2d89cb330a695
FaZe,B,8,2,6,3,a8d2d89cb330a695
FaZe,A,9,5,4,2,e170974178350f6c
Team Spirit,B,13,7,6,3,e170974178350f6c
Liquid,A,7,4,3,2,161480a4df987986
The MongolZ,B,13,8,5,3,161480a4df987986
Liquid,A,8,7,1,2,a1520cf31fd7bfc
The MongolZ,B,13,5,8,3,a1520cf31fd7bfc
G2,A,13,8,5,2,66dfc3308bcd96b
M80,B,9,4,5,3,66dfc3308bcd96b
M80,A,11,8,3,2,575cfb3abbbed6c3
G2,B,13,4,9,3,575cfb3abbbed6c3
Vitality,A,13,5,8,2,ed82f20da8e6c3e8
MOUZ,B,11,7,4,3,ed82f20da8e6c3e8
MOUZ,A,11,6,5,2,18034f73d2236d5d
Vitality,B,13,6,7,3,18034f73d2236d5d
Team Spirit,A,13,7,6,2,6fc64938652a32cf
Virtus.Pro,B,9,5,4,3,6fc64938652a32cf
Team Spirit,A,13,6,7,2,82cb88175f50da9d
Virtus.Pro,B,9,6,3,3,82cb88175f50da9d
Natus Vincere,A,9,5,4,2,c012dade27b4d14e
Eternal Fire,B,13,7,6,3,c012dade27b4d14e
Eternal Fire,A,13,9,4,2,7f818e63ddcc876d
Natus Vincere,B,5,3,2,3,7f818e63ddcc876d
G2,A,13,7,6,2,89b8802513b7153c
The MongolZ,B,11,5,6,3,89b8802513b7153c
G2,A,13,9,4,2,2b62c64f76b4b07b
The MongolZ,B,4,3,1,3,2b62c64f76b4b07b
MOUZ,A,13,6,7,2,9240d42e02192d11
G2,B,8,6,2,3,9240d42e02192d11
G2,A,3,3,0,2,1028a0578e67539
MOUZ,B,13,9,4,3,1028a0578e67539
Natus Vincere,A,7,4,3,2,6887b61a0849c630
Team Spirit,B,13,8,5,3,6887b61a0849c630
Team Spirit,A,13,8,5,2,1ab055992fa6adf5
Natus Vincere,B,6,4,2,3,1ab055992fa6adf5
Eternal Fire,A,11,3,8,2,73d5c08c045186c6
MOUZ,B,13,9,4,3,73d5c08c045186c6
MOUZ,A,13,5,8,2,1223521aaa5d5286
Eternal Fire,B,10,7,3,3,1223521aaa5d5286
Team Spirit,A,6,3,3,2,be1a4009167883ac
Vitality,B,13,9,4,3,be1a4009167883ac
Team Spirit,A,13,9,4,2,bf44fe4cddfa082f
Vitality,B,5,3,2,3,bf44fe4cddfa082f
Team Spirit,A,10,5,5,2,eb46e86a0c8ef344
Vitality,B,14,8,6,3,eb46e86a0c8ef344
MOUZ,A,0,0,0,2,55c390b698a4903d
Vitality,B,13,12,1,3,55c390b698a4903d
Vitality,A,11,3,8,2,33dbf3f93bf4615e
MOUZ,B,13,9,4,3,33dbf3f93bf4615e
MOUZ,A,13,5,8,2,68c490ece276639a
Vitality,B,11,7,4,3,68c490ece276639a
Vitality,A,13,9,4,2,7ffc42f406328270
MOUZ,B,7,3,4,3,7ffc42f406328270
MOUZ,A,7,5,2,2,beedc8ad2a6b8261
Vitality,B,14,8,6,3,beedc8ad2a6b8261
TYLOO,A,1,1,0,3,8e69ec2778f53835
Team Spirit,B,0,0,0,2,8e69ec2778f53835
Team A,A,10,3,7,2,e5ecb29205711e99
Team B,B,13,8,5,3,e5ecb29205711e99
Team A,A,6,5,1,2,27228b2ea9f16a3b
Team B,B,13,7,6,3,27228b2ea9f16a3b
Team A,A,13,6,7,2,6c6ef19118d5c60
Team B,B,7,6,1,3,6c6ef19118d5c60
Team A,A,3,3,0,2,316edd2c51fd0834
Team B,B,13,9,4,3,316edd2c51fd0834
Team A,A,13,6,7,2,30baf904c1360d06
Team B,B,8,6,2,3,30baf904c1360d06
The MongolZ,A,3,3,0,3,5694d69a84d583a0
GamerLegion,B,0,0,0,2,5694d69a84d583a0
Team A,A,10,4,6,2,f74e7f8800fba423
Team B,B,9,5,4,3,f74e7f8800fba423
Team A,A,16,8,4,3,aa6c8a1d9076bd8d
Team B,B,14,4,8,2,aa6c8a1d9076bd8d
Team A,A,10,7,3,2,3f61224a33afc27d
Team B,B,13,5,8,3,3f61224a33afc27d
Team A,A,10,4,6,2,88fc716b7d70943a
Team B,B,13,8,5,3,88fc716b7d70943a
Team A,A,13,10,3,2,ab66f8f56f59e280
Team B,B,3,2,1,3,ab66f8f56f59e280
Team A,A,13,6,7,2,96f3f563606c58f8
Team B,B,9,6,3,3,96f3f563606c58f8
Team A,A,13,8,5,2,c0d840f360c66e37
Team B,B,4,4,0,3,c0d840f360c66e37
Team A,A,13,5,8,2,774413ccce2978cc
Team B,B,9,7,2,3,774413ccce2978cc
Team A,A,16,5,7,3,7ffd25047e808c8
Team B,B,13,7,5,2,7ffd25047e808c8
Team A,A,11,5,6,2,6b97614242d427fd
Team B,B,13,7,6,3,6b97614242d427fd
Team A,A,13,7,6,2,29c91f57fbe190b6
Team B,B,5,5,0,3,29c91f57fbe190b6
Team A,A,8,3,5,2,ea5b5ffc5ce4159f
Team B,B,13,9,4,3,ea5b5ffc5ce4159f
Team A,A,16,5,7,3,72b2aaab746f3c22
Team B,B,14,7,5,2,72b2aaab746f3c22
Team A,A,13,8,5,2,d0b1e860a320518e
Team B,B,9,4,5,3,d0b1e860a320518e
Team A,A,13,8,4,3,80a3423dfaf8fc79
Team B,B,16,4,8,2,80a3423dfaf8fc79
Team A,A,13,9,4,2,5a8d2c911891640f
Team B,B,3,3,0,3,5a8d2c911891640f
Team A,A,8,2,6,2,3c05210c0eaa5a20
Team B,B,13,10,3,3,3c05210c0eaa5a20
Team A,A,10,3,7,2,3a26eaf162707dcb
Team B,B,13,9,4,3,3a26eaf162707dcb
Team A,A,5,3,2,2,39c29b2b4d27fff0
Team B,B,13,9,4,3,39c29b2b4d27fff0
Team A,A,13,9,4,2,c642a293cdd86482
Team B,B,5,3,2,3,c642a293cdd86482
Team A,A,7,5,2,2,9c35264bb6468484
Team B,B,13,7,6,3,9c35264bb6468484
Team A,A,16,6,6,3,6db14d8e85ed3093
Team B,B,13,6,6,2,6db14d8e85ed3093
Team A,A,2,2,0,2,be277b0d8c563cdb
Team B,B,13,10,3,3,be277b0d8c563cdb
Team A,A,13,5,8,2,4255bff206f83561
Team B,B,9,7,2,3,4255bff206f83561
Team A,A,16,2,10,3,bd744f322b02fecd
Team B,B,12,10,2,2,bd744f322b02fecd
Team A,A,10,4,6,2,39f26e5fa08ece5c
Team B,B,13,8,5,3,39f26e5fa08ece5c
Team A,A,13,6,7,2,5b387af4060edd28
Team B,B,7,6,1,3,5b387af4060edd28
Team A,A,9,6,3,2,edcb4a3ba031811a
Team B,B,13,6,7,3,edcb4a3ba031811a
Team A,A,13,10,3,2,ebac2da347203a61
Team B,B,5,2,3,3,ebac2da347203a61
Team A,A,7,3,4,2,73d8dd4c53f2dd83
Team B,B,13,9,4,3,73d8dd4c53f2dd83
Team A,A,13,7,6,2,6ea75381310514a8
Team B,B,10,5,5,3,6ea75381310514a8
Team A,A,13,5,8,2,f50ec9e8c8c3f83b
Team B,B,8,7,1,3,f50ec9e8c8c3f83b
Team A,A,1,1,0,2,279b7e8cba6ce639
Team B,B,13,11,2,3,279b7e8cba6ce639
Team A,A,13,6,7,2,88410e60ae363ac7
Team B,B,8,6,2,3,88410e60ae363ac7
Team A,A,11,6,5,2,93bb7326f8e9e09d
Team B,B,13,6,7,3,93bb7326f8e9e09d
Team A,A,7,4,3,2,81ea565a7e069177
Team B,B,13,8,5,3,81ea565a7e069177
Team A,A,2,2,0,2,afb138a9e6cf7fd2
Team B,B,13,10,3,3,afb138a9e6cf7fd2
Team A,A,6,6,0,3,783278a1f41b51e4
Team B,B,4,4,0,2,783278a1f41b51e4
GamerLegion,A,4,2,2,2,2bb3ece11b02a2a2
TYLOO,B,6,0,6,3,2bb3ece11b02a2a2
GamerLegion,A,8,0,1,2,a0fb39554a271ff5
TYLOO,B,6,1,2,3,a0fb39554a271ff5
Team A,A,20,5,7,3,e051b4303f8fa62f
Team B,B,22,7,5,2,e051b4303f8fa62f
Team A,A,13,9,4,2,f37042420c1c4a49
Team B,B,5,3,2,3,f37042420c1c4a49
Team A,A,13,7,6,2,c01ee5006ce9320
Team B,B,6,5,1,3,c01ee5006ce9320
Team A,A,13,7,6,2,bccb41894d00539e
Team B,B,6,5,1,3,bccb41894d00539e
Team A,A,11,4,7,2,12643b7a7070a5ec
Team B,B,13,8,5,3,12643b7a7070a5ec
Natus Vincere,A,16,5,7,3,74bbdd0a06664212
paiN Gaming,B,14,7,5,2,74bbdd0a06664212
Team A,A,6,5,1,2,16b311f2b6c74b78
Team B,B,13,7,6,3,16b311f2b6c74b78
Team A,A,13,9,4,2,d2693f279cd15669
Team B,B,6,3,3,3,d2693f279cd15669
Team A,A,7,4,3,2,bf2f4cefae40fc7
Team B,B,13,8,5,3,bf2f4cefae40fc7
Team A,A,11,3,8,2,f6804c21a9e7a191
Team B,B,13,9,4,3,f6804c21a9e7a191
Team A,A,19,8,4,2,a3429bc01e14e67c
Team B,B,17,4,8,3,a3429bc01e14e67c
Team A,A,9,4,5,2,169e6f8be6c49771
Team B,B,13,8,5,3,169e6f8be6c49771
Team A,A,19,6,6,2,56eed125fc908468
Team B,B,17,6,6,3,56eed125fc908468
Team A,A,1,1,0,2,f984663567c5ea8f
Team B,B,13,11,2,3,f984663567c5ea8f
Team A,A,13,9,4,2,934fd6d378f2e63
Team B,B,4,3,1,3,934fd6d378f2e63
Team A,A,7,4,3,2,751d95d827414fa0
Team B,B,13,8,5,3,751d95d827414fa0
Team A,A,5,2,3,2,448c7966b81b74c0
Team B,B,13,10,3,3,448c7966b81b74c0
Team A,A,9,6,3,2,2b8872443cd256b3
Team B,B,13,6,7,3,2b8872443cd256b3
Team A,A,13,9,4,2,bcb1ea405e2edce9
Team B,B,8,3,5,3,bcb1ea405e2edce9
Team A,A,13,5,8,2,7a0d04d2abb161f2
Team B,B,8,7,1,3,7a0d04d2abb161f2
Team A,A,4,4,0,2,f52e6c4b9fc5325a
Team B,B,13,8,5,3,f52e6c4b9fc5325a
Team A,A,13,5,8,2,818a8c0b64989692
Team B,B,9,7,2,3,818a8c0b64989692
Team A,A,7,4,3,2,ce7964377b43c8a7
Team B,B,13,8,5,3,ce7964377b43c8a7
Team A,A,9,2,7,2,89ed12e19c0337be
Team B,B,13,10,3,3,89ed12e19c0337be
Team A,A,13,7,6,2,212729ad59192921
Team B,B,6,5,1,3,212729ad59192921
Team A,A,13,7,5,3,5067baaa1d750411
Team B,B,16,5,7,2,5067baaa1d750411
Team A,A,16,6,6,3,8e18c7460516290e
Team B,B,14,6,6,2,8e18c7460516290e
Team A,A,9,5,4,2,c52b61b01b6cb748
Team B,B,13,7,6,3,c52b61b01b6cb748
Team A,A,13,7,6,2,2ae2c11a10d8a5e0
Team B,B,11,5,6,3,2ae2c11a10d8a5e0
Team A,A,13,9,4,2,e33ed675fa851661
Team B,B,6,3,3,3,e33ed675fa851661
Team A,A,4,4,0,2,2086802a2c39728a
Team B,B,13,8,5,3,2086802a2c39728a
Team A,A,8,8,0,2,e624daf06db20767
Team B,B,13,4,9,3,e624daf06db20767
Team A,A,13,6,6,3,ff6770d991c74059
Team B,B,16,6,6,2,ff6770d991c74059
Team A,A,9,4,5,2,2ddc2be86fa12489
Team B,B,13,8,5,3,2ddc2be86fa12489
Team A,A,13,5,8,2,bed0fceea179054e
Team B,B,11,7,4,3,bed0fceea179054e
Team A,A,9,5,4,2,ca30292e2ff10fcf
Team B,B,13,7,6,3,ca30292e2ff10fcf
Team A,A,15,5,7,2,9e1cf5b873234aeb
Team B,B,19,7,5,3,9e1cf5b873234aeb
Team A,A,10,3,7,2,86a459bbe154e5f
Team B,B,13,9,4,3,86a459bbe154e5f
Team A,A,7,6,1,2,19ac7316a998299
Team B,B,13,6,7,3,19ac7316a998299
Team A,A,11,7,4,2,aa21d647a98121b6
Team B,B,13,5,8,3,aa21d647a98121b6
Team A,A,8,5,3,2,228afa585beb1969
Team B,B,13,7,6,3,228afa585beb1969
Team A,A,11,4,7,2,aafb2be0c77dd85e
Team B,B,13,8,5,3,aafb2be0c77dd85e
Team Liquid,A,0,0,0,3,c1ea8474cd5e28c1
Team Vitality,B,3,3,0,2,c1ea8474cd5e28c1
Team A,A,9,5,4,2,5f49becdc5bc62cc
Team B,B,10,4,6,3,5f49becdc5bc62cc
Team A,A,9,5,4,2,39346b69fdfbfbf4
Team B,B,13,7,6,3,39346b69fdfbfbf4
Team A,A,13,7,6,2,68fa1cfdd4b3747
Team B,B,6,5,1,3,68fa1cfdd4b3747
Team A,A,6,3,3,2,7f448682ec455e2c
Team B,B,13,9,4,3,7f448682ec455e2c
Team A,A,3,3,0,2,fcc0c4ac37d6b2fc
Team B,B,9,9,0,3,fcc0c4ac37d6b2fc
MOUZ,A,7,3,0,2,8a4fdcacb3fc04ed
Team Spirit,B,11,9,0,3,8a4fdcacb3fc04ed
Team A,A,7,2,5,2,3efb61445ab59aa6
Team B,B,13,10,3,3,3efb61445ab59aa6
Team A,A,13,8,5,2,62d9b1e46804455
Team B,B,10,4,6,3,62d9b1e46804455
Team A,A,4,3,1,2,9082f32f4a68fc27
Team B,B,13,9,4,3,9082f32f4a68fc27
Team A,A,16,8,4,3,735d0a500bf404d5
Team B,B,14,4,8,2,735d0a500bf404d5
Team A,A,2,2,0,2,b9dd61888745fb89
Team B,B,13,10,3,3,b9dd61888745fb89
Team A,A,9,3,6,2,eb6031d1ee11ccc4
Team B,B,13,9,4,3,eb6031d1ee11ccc4
Team A,A,13,9,4,2,2b607490c0f83891
Team B,B,4,3,1,3,2b607490c0f83891
Team A,A,5,3,2,2,c91ddbbaf4c4e8c6
Team B,B,13,9,4,3,c91ddbbaf4c4e8c6
Team Falcons,A,7,4,3,2,cbf08c5a4ea5b688
Eternal Fire,B,13,8,5,3,cbf08c5a4ea5b688
Team A,A,13,9,4,2,fbcad246a8dde6be
Team B,B,5,3,2,3,fbcad246a8dde6be
Team A,A,19,5,7,2,570f8248223e79f2
Team B,B,16,7,5,3,570f8248223e79f2
Team A,A,5,5,0,3,21962835eb0afc65
Team B,B,4,4,0,2,21962835eb0afc65
3DMAX,A,2,2,0,2,338bf45269a7603e
Team Vitality,B,1,1,0,3,338bf45269a7603e
Team Vitality,A,8,8,0,3,210aa16e681afeb
3DMAX,B,2,2,0,2,210aa16e681afeb
Team A,A,9,5,4,2,3374c692d0b7534
Team B,B,13,7,6,3,3374c692d0b7534
Team A,A,16,9,3,3,c56449524c6b814a
Team B,B,14,3,9,2,c56449524c6b814a
FaZe Clan,A,5,5,0,2,28433542262f6ce8
BIG,B,7,7,0,3,28433542262f6ce8
Team A,A,7,0,7,2,19d23a463472ab70
Team B,B,4,1,3,3,19d23a463472ab70
Team A,A,13,7,6,2,d9bcb36f06fcf029
Team B,B,9,5,4,3,d9bcb36f06fcf029
Team A,A,7,4,3,2,d6d0f7100c7b886a
Team B,B,13,8,5,3,d6d0f7100c7b886a
Team A,A,9,6,3,2,a0154a45e1d020a3
Team B,B,13,6,7,3,a0154a45e1d020a3
Team A,A,13,8,5,2,ac1380546b71e382
Team B,B,11,4,7,3,ac1380546b71e382
Team A,A,13,9,4,2,ebcee65afcd51cc1
Team B,B,5,3,2,3,ebcee65afcd51cc1
Team A,A,3,1,2,2,72cbe2c6ce383400
Team B,B,13,11,2,3,72cbe2c6ce383400
Team A,A,13,7,6,2,15ecd8037c10dd79
Team B,B,5,5,0,3,15ecd8037c10dd79
Team A,A,1,1,0,3,c4954bead7b0cea3
Team B,B,1,1,0,2,c4954bead7b0cea3
Astralis,A,3,3,0,2,2582d0e2275df235
Team Spirit,B,12,7,5,3,2582d0e2275df235
Team A,A,5,5,0,3,b4ed316595c9e3ee
Team B,B,4,4,0,2,b4ed316595c9e3ee
The MongolZ,A,4,1,3,2,9169550a6483bf72
Team Liquid,B,2,2,0,3,9169550a6483bf72
Team Liquid,A,7,7,0,3,551f82d6a90513c
The MongolZ,B,1,1,0,2,551f82d6a90513c
Team A,A,8,4,4,2,9d28525a9109fae5
Team B,B,13,8,5,3,9d28525a9109fae5
Team A,A,13,6,7,2,b3e630844838d64a
Team B,B,11,6,5,3,b3e630844838d64a
Team A,A,13,5,8,2,e537f0fbeee87b04
Team B,B,9,7,2,3,e537f0fbeee87b04
Team A,A,13,9,4,2,689e7c4b453a1b22
Team B,B,7,3,4,3,689e7c4b453a1b22
Team A,A,13,4,9,2,559ac651f961dcd4
Team B,B,11,8,3,3,559ac651f961dcd4
Team A,A,13,6,7,2,24caf48b107978c8
Team B,B,9,6,3,3,24caf48b107978c8
Team A,A,3,3,0,3,f724d4d6b20a12bb
Team B,B,1,1,0,2,f724d4d6b20a12bb
Eternal Fire,A,7,4,3,2,81aee11eb055c1ff
Virtus.pro,B,12,4,8,3,81aee11eb055c1ff
Team A,A,16,6,6,3,d3c2cd2f022a60c2
Team B,B,13,6,6,2,d3c2cd2f022a60c2
Team A,A,13,6,7,2,3a5be6e4d45a306e
Team B,B,11,6,5,3,3a5be6e4d45a306e
Team A,A,6,3,3,2,bf5f494d030fe791
Team B,B,13,9,4,3,bf5f494d030fe791
Team A,A,3,3,0,2,35700478db137ecd
Team B,B,13,9,4,3,35700478db137ecd
Team A,A,13,4,9,2,383f3f966a667aac
Team B,B,10,8,2,3,383f3f966a667aac
Team A,A,19,6,6,2,da770bde2ceb32d
Team B,B,16,6,6,3,da770bde2ceb32d
Team A,A,13,7,6,2,52f410db2e464ddf
Team B,B,10,5,5,3,52f410db2e464ddf
Team A,A,5,4,1,2,68f960e49f620eb6
Team B,B,13,8,5,3,68f960e49f620eb6
Team A,A,7,3,4,2,fd5f8a6034103d74
Team B,B,13,9,4,3,fd5f8a6034103d74
Team A,A,13,9,4,2,923d4f47b764dce7
Team B,B,7,3,4,3,923d4f47b764dce7
Team A,A,8,6,2,2,4a7f07789d54e3b7
Team B,B,13,6,7,3,4a7f07789d54e3b7
Team A,A,0,0,0,3,9db7975699fd0241
Team B,B,3,3,0,2,9db7975699fd0241
Natus Vincere,A,1,1,0,3,8c8bbaa2641a47f5
Team Spirit,B,0,0,0,2,8c8bbaa2641a47f5
Natus Vincere,A,10,4,6,2,e732cdb2060c513d
Team Spirit,B,10,4,6,3,e732cdb2060c513d
Team A,A,14,7,5,3,e5487aec09987be7
Team B,B,16,5,7,2,e5487aec09987be7
Team A,A,2,2,0,3,37b4c80e049802e4
Team B,B,1,1,0,2,37b4c80e049802e4
Astralis,A,11,3,8,2,693fb6f5fe54ada3
FURIA,B,9,6,3,3,693fb6f5fe54ada3
Team A,A,8,4,4,2,a841aa475f35b827
Team B,B,13,8,5,3,a841aa475f35b827
Team A,A,3,3,0,3,b1546cb16ce4f919
Team B,B,3,3,0,2,b1546cb16ce4f919
Astralis,A,10,3,7,2,7e2a3723b325ac32
FURIA,B,8,3,5,3,7e2a3723b325ac32
Team A,A,4,3,1,2,7a873ef2dfe2748b
Team B,B,13,9,4,3,7a873ef2dfe2748b
Team A,A,13,4,8,3,6c679391a6dbcf2f
Team B,B,16,8,4,2,6c679391a6dbcf2f
Team A,A,10,5,5,2,59915953161c3f2c
Team B,B,13,7,6,3,59915953161c3f2c
Team A,A,4,4,0,3,1d90a7887b738639
Team B,B,4,4,0,2,1d90a7887b738639
G2 Esports,A,9,2,6,3,45e1ab827f1078e8
FaZe Clan,B,12,2,6,2,45e1ab827f1078e8
Team A,A,7,7,0,3,2a9902e81ae40834
Team B,B,4,4,0,2,2a9902e81ae40834
FaZe Clan,A,3,1,2,2,751f3a46428921f2
G2 Esports,B,9,0,9,3,751f3a46428921f2
Team A,A,8,6,2,2,55f900d795622dae
Team B,B,13,6,7,3,55f900d795622dae
Team A,A,4,4,0,3,1cd7c5206b017384
Team B,B,4,4,0,2,1cd7c5206b017384
Team A,A,9,3,6,2,1cb455e4100595e
Team B,B,3,1,2,3,1cb455e4100595e
Team A,A,7,3,4,2,24aae0a026f21989
Team B,B,13,9,4,3,24aae0a026f21989
Team A,A,2,2,0,3,460cdd1cb28a18de
Team B,B,6,6,0,2,460cdd1cb28a18de
Team Spirit,A,11,4,7,2,ba4d5563629a1e42
Team Liquid,B,4,0,4,3,ba4d5563629a1e42
Team A,A,8,4,4,2,61cd6440284a9038
Team B,B,13,8,5,3,61cd6440284a9038
Team A,A,8,2,6,2,fe4b8e62bc76e328
Team B,B,13,10,3,3,fe4b8e62bc76e328
Team A,A,5,2,3,2,9762731cfede72e3
Team B,B,13,10,3,3,9762731cfede72e3
Team A,A,4,1,3,2,2560f7943b930418
Team B,B,13,11,2,3,2560f7943b930418
Team A,A,25,9,3,2,60fb075c6ceb579d
Team B,B,22,3,9,3,60fb075c6ceb579d
Team A,A,3,1,2,2,d1a36e7ffefcc2b
Team B,B,13,11,2,3,d1a36e7ffefcc2b
Team A,A,13,9,4,2,ff97bf15fec913cc
Team B,B,9,3,6,3,ff97bf15fec913cc
Team A,A,3,3,0,3,f0512b9774f1d4e0
Team B,B,4,4,0,2,f0512b9774f1d4e0
Team Spirit,A,8,2,6,2,466fcbf188bb4eeb
GamerLegion,B,9,3,6,3,466fcbf188bb4eeb
Team Spirit,A,6,6,0,3,6db171ff15dfdd09
GamerLegion,B,1,1,0,2,6db171ff15dfdd09
Team Spirit,A,7,3,4,2,d474cdcdbcd4e391
GamerLegion,B,5,2,3,3,d474cdcdbcd4e391
Team A,A,13,8,5,2,c051cd28c3fef2fb
Team B,B,4,4,0,3,c051cd28c3fef2fb
Team A,A,7,4,3,2,7c8d471088efabbd
Team B,B,13,8,5,3,7c8d471088efabbd
Team A,A,0,0,0,3,4314a9bfc52002d9
Team B,B,1,1,0,2,4314a9bfc52002d9
Team A,A,17,4,8,2,cde638435845fd7f
Team B,B,16,7,4,3,cde638435845fd7f
The MongolZ,A,5,0,0,2,12edef407a73615c
Eternal Fire,B,1,1,0,3,12edef407a73615c
Team A,A,13,10,3,2,389c398779c40eb7
Team B,B,2,2,0,3,389c398779c40eb7
Team A,A,9,5,4,2,2d40aa7843420a75
Team B,B,13,7,6,3,2d40aa7843420a75
Team A,A,13,7,6,2,c7e4db4643f03b80
Team B,B,7,5,2,3,c7e4db4643f03b80
Team A,A,9,4,5,2,f500563a00bf8c99
Team B,B,13,8,5,3,f500563a00bf8c99
Team A,A,13,8,5,2,7c2e3a4a2219a96
Team B,B,8,4,4,3,7c2e3a4a2219a96
Team A,A,14,6,6,3,d283b059cd044a37
Team B,B,16,6,6,2,d283b059cd044a37
Team A,A,13,7,6,2,195047b6d1906fc4
Team B,B,6,5,1,3,195047b6d1906fc4
Team A,A,5,4,1,2,da94e61682a859f4
Team B,B,13,8,5,3,da94e61682a859f4
Team A,A,13,8,5,2,9f4bfbc3b264416b
Team B,B,11,4,7,3,9f4bfbc3b264416b
Team A,A,8,4,4,2,84dfc12d8138e12f
Team B,B,13,8,5,3,84dfc12d8138e12f
Team A,A,13,6,7,2,267d9e36f3b3601d
Team B,B,11,6,5,3,267d9e36f3b3601d
Team A,A,13,10,3,2,a262f1e40d9327d2
Team B,B,6,2,4,3,a262f1e40d9327d2
Team A,A,9,5,4,2,f25ec98ec22bc01d
Team B,B,13,7,6,3,f25ec98ec22bc01d
Team A,A,13,10,3,2,e62e6858e5069513
Team B,B,6,2,4,3,e62e6858e5069513
Team A,A,13,7,6,2,43b62eea1b3a85ee
Team B,B,10,5,5,3,43b62eea1b3a85ee
Team A,A,6,5,1,2,d946caf73ce399d8
Team B,B,13,7,6,3,d946caf73ce399d8
Team A,A,13,6,7,2,ded706b1a1ab73bd
