name,steamid,score,team_name,kills,assists,deaths,headshots,hs_percentage,kd,kast,avg_damages_per_round,avg_kills_per_round,avg_death_per_round,utility_damage_per_round,mvp,rank_type,rank,old_rank,win_count,bomb_planted,bomb_defused,hostage_rescued,health_damage,armor_damage,utility_damage,1v1,1v2,1v3,1v4,1v5,1v1_won,1v2_won,1v3_won,1v4_won,1v5_won,1v1_lost,1v2_lost,1v3_lost,1v4_lost,1v5_lost,first_kill,first_death,trade_kill,trade_death,first_trade_kill,first_trade_death,k_1,k_2,k_3,k_4,k_5,htlv_2,htlv,crosshair_share_code,color,inspect_weapon_count,match_checksum
Magisk,76561197983956651,42,Falcons,10,4,15,5,50,0.666667,69.565216,54.0,0.434783,0.652174,6.913043,4,-1,0,0,0,4,1,0,1242,265,159,5,9,9,7,4,2,0,0,0,0,3,9,9,7,4,3,1,0,4,0,0,4,3,0,0,0,0.787655,0.72339,CSGO-cFkWX-schKX-eZGKb-dMXSu-wzUrC,3,0,4da8bb160ec93df9
Brollan,76561198138828475,28,MOUZ,11,6,19,5,45,0.578947,56.521736,65.173912,0.478261,0.826087,1.347826,1,-1,0,0,0,0,0,0,1499,244,31,3,7,7,5,2,2,0,0,0,0,1,7,7,5,2,2,6,1,2,0,0,5,3,0,0,0,0.681758,0.617481,CSGO-ebDPX-rm33i-hyojj-VRwnA-YTFuA,2,0,4da8bb160ec93df9
kyxsan,76561198057282432,31,Falcons,13,3,19,4,30,0.684211,69.565216,59.652172,0.565217,0.826087,2.826087,1,-1,0,0,0,0,0,0,1372,174,65,3,7,7,5,2,3,1,1,1,1,0,6,6,4,1,4,5,2,7,0,3,3,3,0,1,0,0.821472,0.841453,CSGO-z57sQ-VjMYy-Uqq9L-Lda2n-bueKP,2,0,4da8bb160ec93df9
degster,76561198799340122,39,Falcons,11,3,13,5,45,0.846154,69.565216,52.95652,0.478261,0.565217,2.652174,2,-1,0,0,0,3,1,0,1218,48,61,5,9,9,7,4,3,1,1,1,1,2,8,8,6,3,1,2,2,0,0,0,9,1,0,0,0,0.863903,0.780393,CSGO-s5Qbj-nvF89-cJjDd-mRdSG-5Yt4N,0,0,4da8bb160ec93df9
xertioN,76561198193174134,42,MOUZ,14,9,15,9,64,0.933333,86.95652,81.347824,0.608696,0.652174,10.565217,1,-1,0,0,0,1,0,0,1871,318,243,3,7,7,5,2,2,0,0,0,0,1,7,7,5,2,4,3,2,5,0,1,7,2,1,0,0,1.174101,0.919134,CSGO-cFkWX-schKX-eZGKb-dMXSu-wzUrC,3,0,4da8bb160ec93df9
NiKo,76561198041683378,38,Falcons,14,6,17,8,57,0.823529,78.260872,76.08696,0.608696,0.73913,11.478261,1,-1,0,0,0,0,0,0,1750,345,264,5,9,9,7,4,2,0,0,0,0,3,9,9,7,4,2,1,6,1,0,0,11,0,1,0,0,1.034455,0.797576,CSGO-HETet-em7Yy-ByunT-MxYqh-2DZML,4,0,4da8bb160ec93df9
Spinx,76561198063336407,48,MOUZ,20,3,14,12,60,1.428571,78.260872,69.869568,0.869565,0.608696,1.217391,3,-1,0,0,0,0,0,0,1607,256,28,3,7,7,5,2,2,0,0,0,0,1,7,7,5,2,2,1,3,3,0,0,8,6,0,0,0,1.296552,1.197868,CSGO-PZmwG-aiLCu-CYuQ2-icz2C-vZ9GJ,1,0,4da8bb160ec93df9
flameZ,76561197978835160,26,Vitality,10,4,9,8,80,1.111111,100.0,72.941177,0.588235,0.529412,3.705882,1,-1,0,0,0,0,0,0,1240,245,63,3,2,4,5,2,2,1,0,0,0,1,1,4,5,2,4,3,1,4,0,2,4,2,1,0,0,1.27461,1.064008,CSGO-6GTQz-fG2FY-HwPO8-TbT3i-vfrVQ,1,0,ea29a1b7c3d3dde3
ropz,76561197991272318,35,Vitality,15,4,9,3,20,1.666667,82.352943,82.705879,0.882353,0.529412,7.529412,3,-1,0,0,0,1,0,0,1406,264,128,4,3,5,6,3,2,1,0,0,0,2,2,5,6,3,2,0,3,3,0,0,4,4,1,0,0,1.43125,1.360924,CSGO-nCfX7-54ue9-aC5eV-6Womf-Q6izO,4,0,ea29a1b7c3d3dde3
jabbi,76561198120557348,18,Astralis,6,1,14,4,66,0.428571,52.941177,39.823528,0.352941,0.823529,2.588235,1,-1,0,0,0,1,0,0,677,120,44,4,3,5,6,3,2,1,0,0,0,2,2,5,6,3,0,3,1,4,0,1,2,2,0,0,0,0.447415,0.507451,CSGO-D3PRo-e7tRk-oKyMt-r6boU-JK5mA,1,0,ea29a1b7c3d3dde3
ZywOo,76561198113666193,38,Vitality,13,1,6,6,46,2.166667,82.352943,69.882355,0.764706,0.352941,8.705882,6,-1,0,0,0,3,0,0,1188,161,148,5,4,6,7,4,3,2,1,1,1,2,2,5,6,3,1,1,4,2,0,1,0,5,1,0,0,1.364989,1.441079,CSGO-QBm2i-22Y3a-X8N8C-9GAPZ-pzJzN,0,0,ea29a1b7c3d3dde3
dev1ce,76561197987713664,27,Astralis,10,5,14,5,50,0.714286,70.588234,80.470589,0.588235,0.823529,3.0,1,-1,0,0,0,1,0,0,1368,238,51,3,2,4,5,2,2,1,0,0,0,1,1,4,5,2,3,1,3,1,0,0,8,1,0,0,0,0.933123,0.669917,CSGO-eAAo9-RaswD-a5mpS-OUuEA-c2D7K,0,0,ea29a1b7c3d3dde3
apEX,76561197989744167,29,Vitality,10,7,7,5,50,1.428571,94.117645,86.764709,0.588235,0.411765,23.882353,3,-1,0,0,0,0,1,0,1475,401,406,4,3,5,6,3,2,1,0,0,0,2,2,5,6,3,2,1,2,4,0,1,3,2,1,0,0,1.356179,1.143165,CSGO-6fpYC-NBRGB-GH5TR-XHd6W-HVGOP,2,0,ea29a1b7c3d3dde3
stavn,76561198022365638,12,Astralis,5,1,12,3,60,0.416667,64.705887,40.117645,0.294118,0.705882,7.235294,0,-1,0,0,0,0,1,0,682,186,123,7,6,8,9,6,2,1,0,0,0,5,5,8,9,6,2,1,2,3,0,0,5,0,0,0,0,0.546089,0.486279,CSGO-s5Qbj-nvF89-cJjDd-mRdSG-5Yt4N,4,0,ea29a1b7c3d3dde3
mezii,76561197973140692,33,Vitality,14,3,7,10,71,2.0,88.235298,79.588234,0.823529,0.411765,5.235294,0,-1,0,0,0,0,0,0,1353,238,89,4,3,5,6,3,3,2,1,1,1,1,1,4,5,2,2,1,5,3,0,1,8,3,0,0,0,1.470206,1.27151,CSGO-uTWB4-XST62-KfumV-kEQ2S-F99zP,3,0,ea29a1b7c3d3dde3
Staehr,76561198005107817,24,Astralis,10,1,10,7,70,1.0,76.470589,59.176472,0.588235,0.588235,3.294118,2,-1,0,0,0,1,0,0,1006,94,56,6,5,7,8,5,3,2,1,1,1,3,3,6,7,4,1,3,2,4,0,2,4,0,2,0,0,1.009871,1.032959,CSGO-8tcSN-y6HW6-tpu9v-DW8ud-wLsuL,3,0,ea29a1b7c3d3dde3
cadiaN,76561198004115516,16,Astralis,6,5,13,5,83,0.461538,64.705887,58.058823,0.352941,0.764706,10.117647,0,-1,0,0,0,1,0,0,987,265,172,6,5,7,8,5,2,1,0,0,0,4,4,7,8,5,0,3,2,3,0,3,4,1,0,0,0,0.646438,0.521438,CSGO-jNrCV-fY5ki-jhurA-GhyN3-jUGOP,2,0,ea29a1b7c3d3dde3
ropz,76561197991272318,38,Vitality,14,4,8,7,50,1.75,78.947372,78.578949,0.736842,0.421053,0.157895,3,-1,0,0,0,1,0,0,1493,151,3,3,4,7,4,6,1,1,0,0,0,2,3,7,4,6,1,1,3,3,0,0,7,2,1,0,0,1.32269,1.241771,CSGO-nCfX7-54ue9-aC5eV-6Womf-Q6izO,3,0,1c9bb7de6330bf76
stavn,76561198022365638,39,Astralis,16,7,17,11,68,0.941176,78.947372,94.736839,0.842105,0.894737,3.526316,0,-1,0,0,0,0,0,0,1800,324,67,7,8,11,8,10,1,1,0,0,0,6,7,11,8,10,1,3,6,0,0,0,8,4,0,0,0,1.228682,0.911784,CSGO-s5Qbj-nvF89-cJjDd-mRdSG-5Yt4N,4,0,1c9bb7de6330bf76
dev1ce,76561197987713664,25,Astralis,11,3,13,4,36,0.846154,68.421051,59.36842,0.578947,0.684211,2.736842,1,-1,0,0,0,0,1,0,1128,104,52,3,4,7,4,6,1,1,0,0,0,2,3,7,4,6,3,3,3,2,0,1,7,2,0,0,0,0.90242,0.803037,CSGO-nCfX7-54ue9-aC5eV-6Womf-Q6izO,0,0,1c9bb7de6330bf76
Staehr,76561198005107817,30,Astralis,11,4,15,5,45,0.733333,63.15789,55.36842,0.578947,0.789474,0.157895,2,-1,0,0,0,1,1,0,1052,227,3,4,5,8,5,7,2,2,1,1,1,2,3,7,4,6,2,1,1,3,0,0,4,2,1,0,0,0.800348,0.808536,CSGO-8tcSN-y6HW6-tpu9v-DW8ud-wLsuL,3,0,1c9bb7de6330bf76
mezii,76561197973140692,52,Vitality,20,7,10,13,65,2.0,89.473686,91.368423,1.052632,0.526316,2.473684,5,-1,0,0,0,1,1,0,1736,158,47,7,8,11,8,10,2,2,1,1,1,5,6,10,7,9,3,1,6,3,0,1,9,4,1,0,0,1.673042,1.480581,CSGO-uTWB4-XST62-KfumV-kEQ2S-F99zP,4,0,1c9bb7de6330bf76
ZywOo,76561198113666193,51,Vitality,17,6,8,7,41,2.125,89.473686,89.210526,0.894737,0.421053,7.263158,3,-1,0,0,0,4,0,0,1695,240,138,3,4,7,4,6,1,1,0,0,0,2,3,7,4,6,1,0,4,0,0,0,8,2,0,0,1,1.580514,1.587398,CSGO-QBm2i-22Y3a-X8N8C-9GAPZ-pzJzN,0,0,1c9bb7de6330bf76
cadiaN,76561198004115516,8,Astralis,1,7,15,0,0,0.066667,52.63158,37.157894,0.052632,0.789474,0.421053,0,-1,0,0,0,0,0,0,706,141,8,4,5,8,5,7,1,1,0,0,0,3,4,8,5,7,0,1,0,4,0,0,1,0,0,0,0,0.226048,0.216153,CSGO-epZ4P-q6Nyk-MuvPW-bD24O-uhmwG,1,0,1c9bb7de6330bf76
apEX,76561197989744167,33,Vitality,9,8,12,4,44,0.75,78.947372,69.684212,0.473684,0.631579,1.789474,0,-1,0,0,0,3,0,0,1324,125,34,2,3,6,3,5,1,1,0,0,0,1,2,6,3,5,1,3,2,5,0,1,7,1,0,0,0,0.975554,0.727605,CSGO-6fpYC-NBRGB-GH5TR-XHd6W-HVGOP,2,0,1c9bb7de6330bf76
flameZ,76561197978835160,32,Vitality,13,7,15,8,61,0.866667,84.210526,74.210526,0.684211,0.789474,6.526316,2,-1,0,0,0,0,0,0,1410,256,124,2,3,6,3,5,1,1,0,0,0,1,2,6,3,5,5,3,2,6,0,2,7,1,0,1,0,1.121039,0.957542,CSGO-6GTQz-fG2FY-HwPO8-TbT3i-vfrVQ,1,0,1c9bb7de6330bf76
jabbi,76561198120557348,29,Astralis,14,0,13,9,64,1.076923,52.63158,79.421051,0.736842,0.684211,4.578948,3,-1,0,0,0,1,0,0,1509,260,87,4,5,8,5,7,1,1,0,0,0,3,4,8,5,7,2,3,0,1,0,1,1,2,3,0,0,0.972069,1.209724,CSGO-D3PRo-e7tRk-oKyMt-r6boU-JK5mA,2,0,1c9bb7de6330bf76
frozen,76561198068422762,69,FaZe,25,3,14,11,44,1.785714,85.714287,92.14286,0.892857,0.5,6.357143,5,-1,0,0,0,4,0,0,2580,480,178,7,11,11,7,3,1,1,1,0,0,6,10,10,7,3,2,1,4,3,0,0,10,4,1,1,0,1.497972,1.42422,CSGO-fSrEi-ubuNk-BMt5L-rDnbc-VqnkP,3,0,dc6893705a5c5d9
broky,76561198201620490,43,FaZe,13,5,16,2,15,0.8125,78.571426,42.07143,0.464286,0.571429,2.678571,3,-1,0,0,0,2,0,0,1178,156,75,6,10,10,6,2,2,2,2,1,1,4,8,8,5,1,2,3,1,4,0,1,5,4,0,0,0,0.884223,0.821283,CSGO-CSdYF-OG6MN-kNsQU-BS9MO-TpNkO,1,0,dc6893705a5c5d9
electronic,76561198044045107,48,Virtus.Pro,20,6,19,11,55,1.052632,78.571426,87.464287,0.714286,0.678571,5.714286,2,-1,0,0,0,0,0,0,2449,395,160,8,12,12,8,4,1,1,1,0,0,7,11,11,8,4,4,4,3,5,0,3,4,5,2,0,0,1.192025,1.087546,CSGO-wkUdL-79HmV-CcxwE-E3Omk-FrNkO,3,0,dc6893705a5c5d9
ICY,76561198055109028,56,Virtus.Pro,17,2,16,6,35,1.0625,78.571426,57.107143,0.607143,0.571429,1.642857,5,-1,0,0,0,5,1,0,1599,159,46,5,9,9,5,1,2,2,2,1,1,3,7,7,4,0,1,1,5,2,0,1,10,2,1,0,0,1.045139,0.961356,CSGO-GVDEn-yoPHD-JYtSQ-KEfzd-BAbYO,0,0,dc6893705a5c5d9
EliGE,76561198066693739,46,FaZe,15,7,19,7,46,0.789474,75.0,58.357143,0.535714,0.678571,3.642857,2,-1,0,0,0,3,0,0,1634,222,102,6,10,10,6,2,2,2,2,1,1,4,8,8,5,1,2,4,4,3,0,0,9,0,2,0,0,0.922023,0.834768,CSGO-unYNq-dZrYm-HR7rt-k56oV-ARVaK,4,0,dc6893705a5c5d9
karrigan,76561197989430253,42,FaZe,15,7,18,4,26,0.833333,64.285713,75.321426,0.535714,0.642857,1.142857,3,-1,0,0,0,1,0,0,2109,475,32,5,9,9,5,1,1,1,1,0,0,4,8,8,5,1,3,6,1,4,0,2,7,1,2,0,0,0.917127,0.884693,CSGO-XxMoC-MNf7w-hmyZv-OkUUO-F99zP,2,0,dc6893705a5c5d9
rain,76561197997351207,51,FaZe,19,5,19,9,47,1.0,75.0,79.75,0.678571,0.678571,6.607143,3,-1,0,0,0,1,1,0,2233,393,185,7,11,11,7,3,1,1,1,0,0,6,10,10,7,3,4,1,5,3,0,0,12,2,1,0,0,1.106841,0.933408,CSGO-tNWWr-MOtwa-8qhDR-XVEwB-5Yt4N,0,0,dc6893705a5c5d9
FL1T,76561197995817501,29,Virtus.Pro,11,3,18,6,54,0.611111,67.85714,50.142857,0.392857,0.642857,0.821429,2,-1,0,0,0,0,0,0,1404,202,23,8,12,12,8,4,1,1,1,0,0,7,11,11,8,4,1,0,5,3,0,0,6,1,1,0,0,0.724918,0.703187,CSGO-Xfo8A-6z8TE-jAoDB-dHWqR-aXGiJ,4,0,dc6893705a5c5d9
